Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
M,234,Shackleton,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,235,Struijk,4.5,4.5,Leeds,74,1.98,58,1.63,56,2.28,52,1.60,32,1.51
G,236,Klaesson,4.0,4.0,Leeds,0,0.01,2,0.07,3,0.13,3,0.11,3,0.14
F,237,Greenwood,4.5,4.5,Leeds,9,0.47,4,0.25,7,0.42,8,0.44,5,0.34
G,238,Meslier,4.5,4.5,Leeds,90,3.16,88,3.19,87,3.55,85,3.17,87,3.70
D,239,Firpo,4.5,4.5,Leeds,0,0.00,22,0.70,26,1.18,29,1.04,57,2.77
M,240,Summerville,4.5,4.5,Leeds,0,0.01,1,0.04,1,0.08,1,0.05,2,0.13
M,241,Bate,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,242,Gelhardt,5.5,5.5,Leeds,24,1.22,25,1.32,27,1.64,28,1.52,28,1.83
D,243,Hjelde,4.0,4.0,Leeds,16,0.51,11,0.35,10,0.42,7,0.24,7,0.32
D,244,Kristensen,5.0,5.0,Leeds,84,2.12,86,2.27,78,3.10,75,2.27,76,3.36
M,245,Roca,5.0,5.0,Leeds,78,2.32,69,2.13,68,2.36,68,2.16,76,2.73
M,246,Aaronson,5.5,5.5,Leeds,68,2.51,64,2.44,61,2.81,57,2.28,61,3.01
M,247,Gyabi,4.5,4.5,Leeds,0,0.00,1,0.03,1,0.03,0,0.00,0,0.01
G,248,Schmeichel,5.0,5.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,249,Evans,4.5,4.5,Leicester,73,3.08,68,1.53,70,2.42,67,2.04,67,2.62
D,250,Bertrand,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,251,Albrighton,5.0,5.0,Leicester,20,0.98,29,1.10,25,1.13,15,0.65,21,0.98
M,252,Mendy,4.5,4.5,Leicester,22,0.92,23,0.83,27,1.06,35,1.25,31,1.24
D,253,Vestergaard,4.0,4.0,Leicester,2,0.12,10,0.27,9,0.35,6,0.21,7,0.30
G,254,Ward,4.0,4.0,Leicester,86,3.64,83,2.86,80,3.11,81,3.02,79,3.23
F,255,Vardy,9.5,9.5,Leicester,74,5.30,67,3.13,57,3.65,69,3.83,71,4.70
D,256,Ricardo,4.4,4.4,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,257,Amartey,4.5,4.5,Leicester,51,2.11,47,1.08,40,1.42,48,1.47,38,1.54
D,258,Castagne,4.5,4.5,Leicester,83,3.90,78,1.92,74,2.86,78,2.58,77,3.32
M,259,Tielemans,6.5,6.5,Leicester,73,3.15,79,2.47,68,2.68,71,2.54,66,2.73
M,260,Pérez,5.0,5.0,Leicester,20,1.30,14,0.69,23,1.28,10,0.55,13,0.81
M,261,Maddison,8.0,8.0,Leicester,80,5.51,72,3.18,73,4.33,76,3.92,73,4.55
F,262,Iheanacho,6.4,6.4,Leicester,26,1.83,28,1.41,36,2.16,23,1.35,22,1.50
M,263,Choudhury,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,264,Barnes,6.9,6.9,Leicester,1,0.04,9,0.43,20,1.15,29,1.50,30,1.82
M,265,Ndidi,5.0,5.0,Leicester,83,2.83,84,2.26,77,2.42,72,2.16,69,2.29
M,266,Dewsbury-Hall,5.0,5.0,Leicester,79,3.25,71,2.23,68,2.56,68,2.37,70,2.75
D,267,Söyüncü,4.5,4.5,Leicester,15,0.64,26,0.61,22,0.78,29,0.89,17,0.66
D,268,Justin,4.5,4.5,Leicester,67,2.90,64,1.46,61,2.15,50,1.54,65,2.59
M,269,Soumaré,4.5,4.5,Leicester,4,0.20,5,0.20,7,0.33,7,0.31,15,0.65
D,270,Thomas,4.5,4.5,Leicester,27,1.31,29,0.76,36,1.39,47,1.53,36,1.57
F,271,Daka,6.0,6.0,Leicester,13,0.87,14,0.71,23,1.37,17,0.99,16,1.07
D,272,Fofana,4.5,4.5,Leicester,87,3.52,80,1.71,80,2.68,77,2.29,84,3.13
D,273,Brunt,4.0,4.0,Leicester,1,0.06,4,0.13,6,0.23,9,0.31,10,0.41
M,274,Milner,4.5,4.5,Liverpool,21,1.13,22,1.44,20,1.18,31,1.70,21,1.30
M,275,Henderson,5.5,5.5,Liverpool,78,2.87,71,3.21,71,2.95,68,2.72,67,2.89
D,276,Matip,6.0,6.0,Liverpool,51,2.29,66,4.14,75,4.17,73,3.88,66,3.85
M,277,Thiago,5.4,5.4,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,278,Chamberlain,5.0,5.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,279,Firmino,8.0,8.0,Liverpool,20,1.28,22,1.74,17,1.22,19,1.33,22,1.64
D,280,Van Dijk,6.5,6.5,Liverpool,86,3.68,83,4.84,82,4.31,79,3.96,81,4.47
G,281,Alisson,5.5,5.5,Liverpool,90,3.90,88,4.54,86,4.14,85,4.04,88,4.36
M,282,Fabinho,5.5,5.5,Liverpool,79,2.88,73,3.33,75,3.13,74,2.98,72,3.19
M,283,Salah,13.0,13.0,Liverpool,85,6.26,78,7.85,79,6.95,77,6.25,75,6.94
D,284,Robertson,7.0,7.0,Liverpool,84,4.01,80,5.34,78,4.67,77,4.36,81,5.04
D,285,Alexander-Arnold,7.5,7.5,Liverpool,86,4.56,83,6.20,82,5.42,79,4.92,79,5.50
D,286,Gomez,4.5,4.5,Liverpool,33,1.49,17,0.95,11,0.58,18,0.91,11,0.60
M,287,Keita,4.9,4.9,Liverpool,54,2.40,48,2.62,54,2.69,47,2.27,47,2.42
F,288,Diogo Jota,9.0,9.0,Liverpool,10,0.67,27,2.03,34,2.32,42,2.65,43,3.02
G,289,Kelleher,4.0,4.0,Liverpool,0,0.00,2,0.08,5,0.21,5,0.21,2,0.08
D,290,Konaté,4.9,4.9,Liverpool,3,0.12,16,0.91,17,0.86,20,0.99,28,1.54
M,291,Jones,5.0,5.0,Liverpool,2,0.12,9,0.50,14,0.77,24,1.19,33,1.74
D,292,Tsimikas,4.5,4.5,Liverpool,5,0.23,10,0.64,11,0.62,8,0.43,7,0.43
M,293,Luis Díaz,8.0,8.0,Liverpool,72,4.29,67,5.31,69,4.84,65,4.28,65,4.83
M,294,Elliott,5.0,5.0,Liverpool,28,1.45,37,2.27,27,1.50,19,1.08,24,1.41
D,295,N.Williams,4.0,4.0,Nott'm Forest,79,2.74,76,2.26,74,0.95,74,3.67,71,2.33
M,296,Carvalho,5.5,5.5,Liverpool,15,0.89,22,1.65,15,0.99,20,1.27,14,0.96
F,297,Darwin,9.1,9.1,Liverpool,73,4.37,69,5.33,66,4.53,61,3.95,62,4.49
D,298,Ramsay,4.0,4.0,Liverpool,1,0.04,1,0.03,2,0.06,1,0.03,1,0.05
D,299,Walker,5.0,5.0,Man City,80,3.60,77,4.08,74,4.25,73,3.38,72,3.23
M,300,Gündogan,7.5,7.5,Man City,69,3.39,62,3.49,59,3.68,56,2.87,52,2.68
M,301,De Bruyne,12.0,12.0,Man City,78,5.01,73,5.51,72,6.26,68,4.55,72,4.72
D,302,Stones,5.5,5.5,Man City,30,1.45,41,2.25,37,2.19,46,2.19,40,1.88
M,303,Mahrez,7.9,7.9,Man City,47,2.92,47,3.38,49,4.02,51,3.29,45,2.89
M,304,Sterling,10.0,10.0,Chelsea,72,4.05,79,4.72,70,4.09,71,4.33,70,4.22
M,305,Grealish,7.0,7.0,Man City,59,3.09,60,3.60,51,3.51,57,3.08,56,3.02
D,306,Cancelo,7.0,7.0,Man City,86,4.11,82,4.64,83,5.17,81,4.00,78,3.72
G,307,Ederson,5.5,5.5,Man City,89,3.96,85,4.12,88,4.43,86,3.87,88,3.85
D,308,Aké,5.0,5.0,Man City,71,3.59,69,4.07,64,4.10,65,3.34,61,3.06
D,309,Laporte,6.0,6.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,22,1.08
G,310,Steffen,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,311,Bernardo,6.9,6.9,Man City,18,0.86,21,1.11,19,1.11,27,1.30,47,2.11
D,312,Dias,6.0,6.0,Man City,79,3.79,75,4.24,76,4.68,76,3.71,74,3.52
D,313,Zinchenko,5.1,5.1,Arsenal,69,3.33,62,3.35,61,3.07,64,2.38,60,3.19
M,314,Foden,8.0,8.0,Man City,73,4.27,69,4.68,69,5.29,65,3.96,69,4.13
M,315,Rodri,6.0,6.0,Man City,82,3.04,83,3.38,74,3.34,77,2.90,75,2.79
M,316,Palmer,4.5,4.5,Man City,4,0.21,8,0.46,18,1.05,16,0.81,12,0.63
M,317,McAtee,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,318,Haaland,11.6,11.5,Man City,77,5.49,74,6.13,75,7.15,71,5.20,68,4.86
F,319,Álvarez,6.4,6.4,Man City,22,1.30,26,1.77,23,1.77,28,1.66,32,1.93
D,320,Mbete,4.0,4.0,Man City,2,0.10,5,0.27,5,0.28,3,0.16,1,0.06
M,321,Lavia,4.5,4.5,Southampton,74,2.18,72,2.23,73,2.13,75,2.28,66,2.18
D,322,Wilson-Esbrand,4.0,4.0,Man City,6,0.29,5,0.25,8,0.48,7,0.35,11,0.52
F,323,Delap,4.5,4.5,Man City,2,0.17,2,0.18,6,0.48,5,0.33,4,0.29
G,324,Ortega,4.0,4.0,Man City,1,0.03,3,0.15,2,0.09,0,0.01,0,0.00
M,325,Phillips,5.0,5.0,Man City,10,0.39,24,1.08,39,1.82,32,1.28,25,1.03
F,326,Ronaldo,10.5,10.5,Man Utd,54,2.56,54,3.34,57,3.16,59,3.42,65,3.71
G,327,De Gea,5.0,5.0,Man Utd,89,3.09,90,3.57,90,3.37,88,3.33,90,3.54
D,328,Jones,4.0,4.0,Man Utd,0,0.01,0,0.00,0,0.00,0,0.00,0,0.00
D,329,Varane,4.9,4.9,Man Utd,31,0.75,28,1.08,29,0.97,35,1.18,36,1.30
D,330,Maguire,4.9,4.9,Man Utd,82,1.71,79,2.80,78,2.32,74,2.31,70,2.33
M,331,Fred,5.4,5.4,Man Utd,62,2.17,57,2.34,61,2.31,56,2.22,57,2.25
D,332,Shaw,5.0,5.0,Man Utd,53,1.39,52,2.12,49,1.73,55,2.02,47,1.81
M,333,Fernandes,9.9,9.9,Man Utd,87,3.21,83,4.03,85,3.74,84,3.65,79,3.51
D,334,Telles,5.0,5.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,335,Rashford,6.4,6.4,Man Utd,79,2.92,71,3.39,63,2.81,64,2.90,62,2.86
M,336,Van de Beek,5.4,5.4,Man Utd,23,0.89,25,1.10,27,1.08,29,1.17,24,0.98
D,337,Lindelöf,4.5,4.5,Man Utd,6,0.13,10,0.34,16,0.47,14,0.43,16,0.53
M,338,McTominay,5.0,5.0,Man Utd,44,1.37,50,1.72,37,1.26,44,1.48,43,1.47
D,339,Bailly,4.0,4.0,Man Utd,2,0.05,3,0.08,3,0.08,3,0.09,1,0.02
M,340,Sancho,7.4,7.4,Man Utd,77,2.93,77,3.71,73,3.26,76,3.43,67,3.13
D,341,Wan-Bissaka,4.4,4.4,Man Utd,9,0.22,18,0.67,22,0.69,16,0.52,18,0.61
D,342,Dalot,4.5,4.5,Man Utd,78,1.71,72,2.66,68,2.12,72,2.35,69,2.39
D,343,B.Williams,4.0,4.0,Man Utd,3,0.11,2,0.07,3,0.12,4,0.15,6,0.23
M,344,Elanga,5.0,5.0,Man Utd,25,1.24,35,1.96,27,1.44,26,1.40,27,1.43
F,345,Martial,6.9,6.9,Man Utd,11,0.59,10,0.66,35,1.81,28,1.51,35,1.82
M,346,Andreas,4.5,4.5,Fulham,61,2.67,75,2.53,70,2.92,70,2.38,72,2.62
M,347,Pellistri,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,348,Heaton,4.0,4.0,Man Utd,0,0.02,0,0.00,0,0.00,2,0.07,0,0.00
M,349,Shelvey,5.0,5.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,350,Ritchie,4.5,4.5,Newcastle,10,0.28,6,0.27,6,0.17,7,0.40,7,0.31
D,351,Fernández,4.4,4.4,Newcastle,0,0.01,2,0.09,6,0.13,4,0.18,4,0.16
D,352,Clark,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,353,Darlow,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,354,Wood,5.9,5.9,Newcastle,10,0.54,9,0.54,18,0.81,24,1.48,22,1.18
G,355,Dubravka,4.4,4.4,Newcastle,0,0.01,1,0.02,3,0.10,2,0.08,3,0.13
F,356,Wilson,7.5,7.5,Newcastle,81,3.44,79,4.14,71,2.75,66,3.93,64,3.25
D,357,Trippier,5.0,5.0,Newcastle,83,1.96,79,3.10,79,1.40,75,3.53,78,2.63
D,358,Burn,4.5,4.5,Newcastle,79,1.68,72,2.55,66,1.04,71,3.06,70,2.14
M,359,Fraser,5.4,5.4,Newcastle,34,1.58,35,1.90,32,1.41,37,2.22,42,2.12
D,360,Lascelles,4.4,4.4,Newcastle,10,0.27,4,0.17,7,0.17,8,0.33,9,0.31
F,361,Gayle,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,362,Dummett,4.0,4.0,Newcastle,11,0.31,2,0.06,3,0.07,1,0.03,2,0.05
D,363,Manquillo,4.5,4.5,Newcastle,7,0.19,8,0.33,6,0.16,7,0.30,4,0.14
D,364,Krafth,4.5,4.5,Newcastle,1,0.04,2,0.10,4,0.11,10,0.43,9,0.29
M,365,Murphy,4.5,4.5,Newcastle,9,0.41,12,0.63,12,0.51,20,1.08,23,1.08
D,366,Schär,4.6,4.6,Newcastle,82,1.90,69,2.67,67,1.22,61,2.82,68,2.29
D,367,Targett,5.0,5.0,Newcastle,32,0.71,71,2.52,80,1.26,73,3.10,73,2.26
M,368,Saint-Maximin,6.5,6.5,Newcastle,77,2.79,79,3.45,73,2.44,70,3.50,73,3.06
M,369,Almirón,5.0,5.0,Newcastle,64,2.34,62,2.63,68,2.25,61,2.88,59,2.40
M,370,S.Longstaff,4.5,4.5,Newcastle,33,1.13,33,1.25,36,1.12,38,1.48,35,1.26
M,371,Joelinton,6.0,6.0,Newcastle,77,2.34,71,2.52,68,1.99,61,2.42,64,2.22
D,372,Lewis,4.4,4.4,Newcastle,5,0.13,5,0.19,5,0.12,11,0.47,3,0.12
M,373,Willock,5.0,5.0,Newcastle,67,2.13,71,2.53,70,2.05,69,2.72,67,2.31
M,374,Bruno Guimarães,6.0,6.0,Newcastle,79,2.57,74,2.85,75,2.27,72,3.05,71,2.61
M,375,Hendrick,4.5,4.5,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,376,Pope,5.0,5.0,Newcastle,90,3.09,89,3.53,87,2.96,88,3.72,86,3.25
D,377,Botman,4.5,4.5,Newcastle,47,0.98,47,1.58,40,0.65,45,1.83,43,1.29
M,378,Arter,4.5,4.5,Nott'm Forest,0,0.01,1,0.05,0,0.01,1,0.06,3,0.12
D,379,Cook,4.5,4.5,Nott'm Forest,9,0.24,13,0.32,15,0.18,23,0.90,24,0.65
F,380,Taylor,4.5,4.5,Nott'm Forest,3,0.18,4,0.22,5,0.19,4,0.26,8,0.40
M,381,Colback,4.5,4.5,Nott'm Forest,51,1.63,46,1.42,42,1.16,55,1.92,45,1.44
G,382,Samba,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,383,Cafú,4.5,4.5,Nott'm Forest,14,0.58,14,0.55,12,0.44,15,0.70,18,0.72
M,384,Lolley,4.9,4.9,Nott'm Forest,14,0.78,10,0.54,13,0.61,13,0.78,13,0.72
D,385,McKenna,4.5,4.5,Nott'm Forest,9,0.26,28,0.70,45,0.42,48,1.83,57,1.44
D,386,Dräger,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,387,Yates,5.0,5.0,Nott'm Forest,9,0.34,28,0.94,50,1.34,39,1.51,42,1.40
D,388,Worrall,4.5,4.5,Nott'm Forest,81,2.09,77,1.66,63,0.51,65,2.38,60,1.46
D,389,Panzo,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,390,Xande Silva,5.0,5.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,391,Surridge,5.0,5.0,Nott'm Forest,31,1.60,30,1.44,30,1.24,26,1.57,22,1.18
D,392,Laryea,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,393,Mbe Soh,4.5,4.5,Nott'm Forest,3,0.07,2,0.04,1,0.02,1,0.04,3,0.06
F,394,Johnson,6.0,6.0,Nott'm Forest,74,3.18,69,2.79,75,2.42,76,3.91,74,3.14
M,395,Mighten,5.0,5.0,Nott'm Forest,0,0.00,0,0.01,2,0.09,2,0.17,1,0.05
M,396,Ojeda,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,397,Awoniyi,5.9,5.9,Nott'm Forest,67,3.07,72,2.99,68,2.34,69,3.68,72,3.19
G,398,Henderson,4.5,4.5,Nott'm Forest,87,3.14,88,3.03,87,2.98,84,3.40,83,2.92
D,399,Biancone,4.5,4.5,Nott'm Forest,31,1.12,27,0.86,24,0.44,36,1.74,36,1.21
M,400,Walcott,5.0,5.0,Southampton,0,0.00,0,0.00,3,0.18,1,0.11,4,0.28
G,401,McCarthy,4.5,4.5,Southampton,2,0.08,5,0.17,11,0.39,5,0.17,3,0.12
M,402,Romeu,5.0,5.0,Southampton,42,1.43,38,1.39,39,1.31,33,1.20,38,1.47
M,403,Redmond,5.5,5.5,Southampton,32,1.40,36,1.67,27,1.21,35,1.59,38,1.90
D,404,Stephens,4.5,4.5,Southampton,12,0.34,24,0.77,19,0.49,28,0.87,25,0.92
M,405,S.Armstrong,5.0,5.0,Southampton,61,2.42,57,2.48,57,2.23,62,2.55,62,2.87
M,406,Elyounoussi,5.5,5.5,Southampton,36,1.66,30,1.56,30,1.41,29,1.45,32,1.78
M,407,Ward-Prowse,6.5,6.5,Southampton,82,3.28,80,3.58,79,3.07,78,3.29,79,3.88
F,408,A.Armstrong,5.5,5.5,Southampton,61,2.75,51,2.60,57,2.47,53,2.52,54,2.91
D,409,Walker-Peters,4.5,4.5,Southampton,85,2.60,77,2.85,83,2.45,85,2.97,75,3.27
D,410,Bednarek,4.5,4.5,Southampton,67,1.85,67,2.18,74,1.94,70,2.20,75,2.87
F,411,Adams,6.4,6.4,Southampton,30,1.42,37,1.81,34,1.48,39,1.81,35,1.83
M,412,Tella,5.0,5.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,413,Lyanco,4.5,4.5,Southampton,7,0.21,3,0.10,6,0.19,10,0.31,10,0.36
D,414,Valery,4.0,4.0,Southampton,29,0.95,29,1.08,30,0.96,33,1.19,33,1.42
M,415,Smallbone,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,416,Diallo,4.5,4.5,Southampton,9,0.35,12,0.47,16,0.60,14,0.55,19,0.78
D,417,Perraud,4.5,4.5,Southampton,39,1.13,36,1.25,40,1.11,28,0.96,38,1.54
M,418,Djenepo,5.0,5.0,Southampton,34,1.37,38,1.55,33,1.31,42,1.62,44,1.84
D,419,Livramento,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,420,Salisu,4.5,4.5,Southampton,81,1.90,84,2.34,83,1.86,74,2.02,72,2.41
G,421,Lis,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,422,Bazunu,4.5,4.5,Southampton,88,3.08,85,3.15,79,2.75,85,3.15,87,3.42
D,423,Bella-Kotchap,4.5,4.5,Southampton,73,1.82,71,2.11,65,1.58,60,1.72,62,2.19
G,424,Caballero,4.0,4.0,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,425,Lloris,5.5,5.5,Spurs,90,3.99,89,3.89,90,3.51,89,4.07,87,2.94
G,426,Forster,4.0,4.0,Spurs,1,0.02,0,0.01,0,0.00,1,0.02,3,0.11
F,427,Kane,11.4,11.4,Spurs,85,6.22,82,5.78,83,4.99,80,6.25,83,3.62
M,428,Son,12.0,12.0,Spurs,81,6.04,75,5.43,79,4.77,76,6.07,74,3.24
D,429,Doherty,4.9,4.9,Spurs,49,2.97,58,3.38,59,2.71,65,4.14,65,1.66
